mae,rmse,mape,r2,model,test_cell,n_train,n_test,feature_set
0.0026656125270069866,0.0031434327219815998,0.28804394926572735,0.9811971803989286,GradientBoosting,E,60,12,state_only
0.00480027755254242,0.005245052687456878,0.5176997277713001,0.9568602650287938,LinearRegression,F,60,12,state_only
0.002730583339562276,0.003408754431302434,0.2939759462831948,0.9817791264790751,Ridge,F,60,12,state_only
0.002870402801450419,0.003161803300153695,0.3116441382029201,0.9843235594687492,RandomForest,F,60,12,state_only
0.0026974510682012767,0.0031766219370345946,0.2934042171087873,0.9841762714600337,GradientBoosting,F,60,12,state_only
0.0015858059124210695,0.0022541679891250692,0.171280606096767,0.9898617169267432,LinearRegression,A,60,12,state_aware_full
0.0016741846191464054,0.002369255535642554,0.18018511388154945,0.9888000608086114,Ridge,A,60,12,state_aware_full
0.0016762021414566213,0.002329788437410256,0.18107027589943975,0.9891700904905982,RandomForest,A,60,12,state_aware_full
0.0015874903700905478,0.001995407636408918,0.17066178425305267,0.9920557095020062,GradientBoosting,A,60,12,state_aware_full
0.0034810052980216353,0.004937105135197407,0.3833873390766825,0.966499618580127,LinearRegression,B,60,12,state_aware_full
0.00318346653117201,0.0037524288050098027,0.34565843156291043,0.9806478187554647,Ridge,B,60,12,state_aware_full
0.002904299002291046,0.0032228488948806036,0.3124842467983466,0.9857247116879493,RandomForest,B,60,12,state_aware_full
0.0025534633258621118,0.0029706603959416176,0.2739929367260901,0.9878713905044356,GradientBoosting,B,60,12,state_aware_full
0.001730027247427296,0.0019023029149138355,0.1832441268741673,0.9897348937923675,LinearRegression,C,60,12,state_aware_full
0.0038301988201521198,0.00406747502484393,0.4078554681991844,0.9530696394999506,Ridge,C,60,12,state_aware_full
0.004267076615362603,0.004711690186087003,0.45514486538229193,0.9370265404902344,RandomForest,C,60,12,state_aware_full
0.0027780637650373363,0.0032982042078431285,0.29618419931915685,0.9691426104455404,GradientBoosting,C,60,12,state_aware_full
0.002711618796591301,0.0032055489764529765,0.2896344981338049,0.9805860139017663,LinearRegression,D,60,12,state_aware_full
0.004691048798602104,0.005463219353978132,0.5009807709788758,0.9436093426288192,Ridge,D,60,12,state_aware_full
0.002933926561040264,0.0035889359254928565,0.31095698996121324,0.9756644430268411,RandomForest,D,60,12,state_aware_full
0.0025789313746102196,0.0029166360727086484,0.27380282978611314,0.9839278355847226,GradientBoosting,D,60,12,state_aware_full
0.003183086457102524,0.0033305337935001073,0.3442584516436242,0.978892231170998,LinearRegression,E,60,12,state_aware_full
0.0023577931397779175,0.0030786837671824747,0.254143680684645,0.981963809921663,Ridge,E,60,12,state_aware_full
0.002242762770710033,0.0027493938680254277,0.23921981846159626,0.9856157057224909,RandomForest,E,60,12,state_aware_full
0.002159688242262999,0.002494190127067713,0.23262847544818144,0.9881621249531253,GradientBoosting,E,60,12,state_aware_full
0.0028229822241622924,0.0031862837438267665,0.3057126777367843,0.9840798682274882,LinearRegression,F,60,12,state_aware_full
0.001394832870814322,0.0017719521385818812,0.15180417227457768,0.9950764116341324,Ridge,F,60,12,state_aware_full
0.0026945140414004567,0.0030382723073557184,0.2924345806791528,0.9855245806862981,RandomForest,F,60,12,state_aware_full
0.0022642718714266283,0.0024582464047655963,0.24750202429613624,0.9905239228521195,GradientBoosting,F,60,12,state_aware_full
